Date,Product,Category,Quantity,Revenue,Region
2024-01-15,Widget A,Electronics,150,15000,North
2024-01-16,Widget B,Electronics,200,24000,South
2024-01-17,Gadget X,Home,75,7500,East
2024-01-18,Widget A,Electronics,180,18000,West
2024-01-19,Tool Y,Industrial,120,18000,North
2024-01-20,Widget B,Electronics,220,26400,South
2024-01-21,Gadget X,Home,90,9000,East
2024-01-22,Widget A,Electronics,160,16000,West
2024-01-23,Tool Y,Industrial,100,15000,North
2024-01-24,Gadget Z,Home,60,9000,South
2024-01-25,Widget A,Electronics,170,17000,East
2024-01-26,Widget B,Electronics,210,25200,West
2024-01-27,Tool Y,Industrial,110,16500,North
2024-01-28,Gadget X,Home,85,8500,South
2024-01-29,Widget A,Electronics,190,19000,East
2024-01-30,Gadget Z,Home,70,10500,West
2024-02-01,Widget B,Electronics,230,27600,North
2024-02-02,Tool Y,Industrial,130,19500,South
2024-02-03,Widget A,Electronics,175,17500,East
2024-02-04,Gadget X,Home,95,9500,West
2024-02-05,Widget B,Electronics,240,28800,North
2024-02-06,Gadget Z,Home,65,9750,South
2024-02-07,Tool Y,Industrial,140,21000,East
2024-02-08,Widget A,Electronics,185,18500,West
2024-02-09,Gadget X,Home,80,8000,North
2024-02-10,Widget B,Electronics,250,30000,South

